id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_1855,"Eau De Parfum HER SUI | Skinexpert.id","PARFUME: Sunny Bright",https://skinexpert.id/wp-content/uploads/2022/10/221.png,https://skinexpert.id/product/parfum-her-sui-skinexpert-id/?attribute_parfume=Sunny+Bright,"BODY, HERSUI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",79000IDR,in stock,wc_post_id_1372,,"https://skinexpert.id/wp-content/uploads/2022/10/cress-mask-4.png,https://skinexpert.id/wp-content/uploads/2022/10/221.png,https://skinexpert.id/wp-content/uploads/2022/10/23.png,https://skinexpert.id/wp-content/uploads/2022/10/241.png,https://skinexpert.id/wp-content/uploads/2022/10/212.png",,0,new,published,,,,,,,
wc_post_id_1854,"Eau De Parfum HER SUI | Skinexpert.id","PARFUME: Exotic Me",https://skinexpert.id/wp-content/uploads/2022/10/212.png,https://skinexpert.id/product/parfum-her-sui-skinexpert-id/?attribute_parfume=Exotic+Me,"BODY, HERSUI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",79000IDR,in stock,wc_post_id_1372,,"https://skinexpert.id/wp-content/uploads/2022/10/cress-mask-4.png,https://skinexpert.id/wp-content/uploads/2022/10/221.png,https://skinexpert.id/wp-content/uploads/2022/10/23.png,https://skinexpert.id/wp-content/uploads/2022/10/241.png,https://skinexpert.id/wp-content/uploads/2022/10/212.png",,0,new,published,,,,,,,
OCG_1823,"Glowing Masker Gel Mask Semua Jenis Kulit | Nirmala Kalyani Skinexpert.id","Variasi: Oil Control",https://skinexpert.id/wp-content/uploads/2023/01/183.png,https://skinexpert.id/product/glowing-masker-gel-mask-semua-jenis-kulit-nirmala-kalyani-skinexpert-id/?attribute_variasi=Oil+Control,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",79000IDR,in stock,Gel Mask_1820,,"https://skinexpert.id/wp-content/uploads/2023/01/152.png,https://skinexpert.id/wp-content/uploads/2023/01/183.png,https://skinexpert.id/wp-content/uploads/2023/01/173.png,https://skinexpert.id/wp-content/uploads/2023/01/162.png",,0,new,published,,,,,,,
DBG_1822,"Glowing Masker Gel Mask Semua Jenis Kulit | Nirmala Kalyani Skinexpert.id","Variasi: Bright Glow",https://skinexpert.id/wp-content/uploads/2023/01/162.png,https://skinexpert.id/product/glowing-masker-gel-mask-semua-jenis-kulit-nirmala-kalyani-skinexpert-id/?attribute_variasi=Bright+Glow,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",79000IDR,in stock,Gel Mask_1820,,"https://skinexpert.id/wp-content/uploads/2023/01/152.png,https://skinexpert.id/wp-content/uploads/2023/01/183.png,https://skinexpert.id/wp-content/uploads/2023/01/173.png,https://skinexpert.id/wp-content/uploads/2023/01/162.png",,0,new,published,,,,,,,
ACG_1821,"Glowing Masker Gel Mask Semua Jenis Kulit | Nirmala Kalyani Skinexpert.id","Variasi: Acne Glow",https://skinexpert.id/wp-content/uploads/2023/01/173.png,https://skinexpert.id/product/glowing-masker-gel-mask-semua-jenis-kulit-nirmala-kalyani-skinexpert-id/?attribute_variasi=Acne+Glow,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",79000IDR,in stock,Gel Mask_1820,,"https://skinexpert.id/wp-content/uploads/2023/01/152.png,https://skinexpert.id/wp-content/uploads/2023/01/183.png,https://skinexpert.id/wp-content/uploads/2023/01/173.png,https://skinexpert.id/wp-content/uploads/2023/01/162.png",,0,new,published,,,,,,,
wc_post_id_1380,"Eau De Parfum HER SUI | Skinexpert.id","PARFUME: Vivid Dream",https://skinexpert.id/wp-content/uploads/2022/10/241.png,https://skinexpert.id/product/parfum-her-sui-skinexpert-id/?attribute_parfume=Vivid+Dream,"BODY, HERSUI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",79000IDR,in stock,wc_post_id_1372,,"https://skinexpert.id/wp-content/uploads/2022/10/cress-mask-4.png,https://skinexpert.id/wp-content/uploads/2022/10/221.png,https://skinexpert.id/wp-content/uploads/2022/10/23.png,https://skinexpert.id/wp-content/uploads/2022/10/241.png,https://skinexpert.id/wp-content/uploads/2022/10/212.png",,0,new,published,,,,,,,
wc_post_id_1379,"Eau De Parfum HER SUI | Skinexpert.id","PARFUME: Sweet Floral",https://skinexpert.id/wp-content/uploads/2022/10/23.png,https://skinexpert.id/product/parfum-her-sui-skinexpert-id/?attribute_parfume=Sweet+Floral,"BODY, HERSUI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",79000IDR,in stock,wc_post_id_1372,,"https://skinexpert.id/wp-content/uploads/2022/10/cress-mask-4.png,https://skinexpert.id/wp-content/uploads/2022/10/221.png,https://skinexpert.id/wp-content/uploads/2022/10/23.png,https://skinexpert.id/wp-content/uploads/2022/10/241.png,https://skinexpert.id/wp-content/uploads/2022/10/212.png",,0,new,published,,,,,,,
wc_post_id_1151,"PAKET JERAWAT BATU BERUNTUS BEKAS JERAWAT GLOWING NIRMALA KALYANI ACNE WHITE SUPER GLOW | Skinexpert.id","PAKET: KOMPLIT Hidrasi",https://skinexpert.id/wp-content/uploads/2022/10/74.png,https://skinexpert.id/product/paket-jerawat-batu-beruntus-bekas-jerawat-glowing-nirmala-kalyani-acne-white-super-glow-skinexpert-id/?attribute_paket=KOMPLIT+Hidrasi,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",320000IDR,in stock,wc_post_id_1126,,"https://skinexpert.id/wp-content/uploads/2022/10/16_1654243340790.png,https://skinexpert.id/wp-content/uploads/2022/10/29_1663900890969.png,https://skinexpert.id/wp-content/uploads/2022/10/45_1663900891119.png,https://skinexpert.id/wp-content/uploads/2022/10/63_1663900891219.png,https://skinexpert.id/wp-content/uploads/2022/10/53_1663900891377.png",,0,new,published,,,,,,,
wc_post_id_1150,"PAKET JERAWAT BATU BERUNTUS BEKAS JERAWAT GLOWING NIRMALA KALYANI ACNE WHITE SUPER GLOW | Skinexpert.id","PAKET: KOMPLIT Jerawat Meradang",https://skinexpert.id/wp-content/uploads/2022/10/37.png,https://skinexpert.id/product/paket-jerawat-batu-beruntus-bekas-jerawat-glowing-nirmala-kalyani-acne-white-super-glow-skinexpert-id/?attribute_paket=KOMPLIT+Jerawat+Meradang,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",320000IDR,in stock,wc_post_id_1126,,"https://skinexpert.id/wp-content/uploads/2022/10/16_1654243340790.png,https://skinexpert.id/wp-content/uploads/2022/10/29_1663900890969.png,https://skinexpert.id/wp-content/uploads/2022/10/45_1663900891119.png,https://skinexpert.id/wp-content/uploads/2022/10/63_1663900891219.png,https://skinexpert.id/wp-content/uploads/2022/10/53_1663900891377.png",,0,new,published,,,,,,,
wc_post_id_1149,"PAKET JERAWAT BATU BERUNTUS BEKAS JERAWAT GLOWING NIRMALA KALYANI ACNE WHITE SUPER GLOW | Skinexpert.id","PAKET: KOMPLIT Mencerahkan",https://skinexpert.id/wp-content/uploads/2022/10/53.png,https://skinexpert.id/product/paket-jerawat-batu-beruntus-bekas-jerawat-glowing-nirmala-kalyani-acne-white-super-glow-skinexpert-id/?attribute_paket=KOMPLIT+Mencerahkan,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",320000IDR,in stock,wc_post_id_1126,,"https://skinexpert.id/wp-content/uploads/2022/10/16_1654243340790.png,https://skinexpert.id/wp-content/uploads/2022/10/29_1663900890969.png,https://skinexpert.id/wp-content/uploads/2022/10/45_1663900891119.png,https://skinexpert.id/wp-content/uploads/2022/10/63_1663900891219.png,https://skinexpert.id/wp-content/uploads/2022/10/53_1663900891377.png",,0,new,published,,,,,,,
